ProcesoSancionId,Expediente,ProcesoSancionTipoNombre,ProcesoSancionEstado,FechaInicio,FechaTermino,ConfirmaPdC,MultaTotalUTA,LinkSNIFA,UnidadFiscalizableId,Nombre,RegionNombre,ComunaNombre,Latitud,Longitud,CategoriaEconomicaNombre,SubCategoriaEconomicaNombre,LinkSNIFA_UF,FechaActualizacion,DuracionDias
1104,F-020-2014,Fiscalización,Terminado - Sanción,2014-02-26,2014-09-05,No,13.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1104                          ,11487,SOCIEDAD INVERSIONES MELIPILLA S.A.,Región Metropolitana,Melipilla,-33.6893298698153,-71.226775272844,Equipamiento,Restorán / Servicio de comidas,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11487                         ,2026-09-12,191.0
1107,F-023-2014,Fiscalización,Terminado - Sanción,2014-02-26,2014-09-05,No,13.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1107                          ,2260,VIÑA CAMINO REAL,Región del Libertador General Bernardo O'Higgins,Mostazal,-34.053615639183,-70.6905609679249,Agroindustrias,Vinificación / producción de alcohol,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2260                          ,2026-09-12,191.0
1108,F-024-2014,Fiscalización,Terminado - Sanción,2014-02-27,2014-08-25,No,1.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1108                          ,10540,PORTAL LA FLORIDA,Región Metropolitana,La Florida,-33.511445,-70.61049,Vivienda e Inmobiliarios,Edificio Habitacional,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10540                         ,2026-09-12,179.0
1111,F-027-2014,Fiscalización,Terminado - Sanción,2014-02-27,2014-08-25,No,1.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1111                          ,10550,COMUNIDAD EDIFICIO JOSE DOMINGO CAÑAS,Región Metropolitana,Ñuñoa,-33.456605,-70.610515,Vivienda e Inmobiliarios,Edificio Habitacional,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10550                         ,2026-09-12,179.0
1112,F-028-2014,Fiscalización,Terminado - Sanción,2014-02-27,2014-08-25,No,1.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1112                          ,10551,COMUNIDAD EDIFICIO NEOURBANO,Región Metropolitana,Ñuñoa,-33.454201,-70.576754,Vivienda e Inmobiliarios,Edificio Habitacional,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10551                         ,2026-09-12,179.0
1113,F-029-2014,Fiscalización,Terminado - Sanción,2014-02-27,2014-08-25,No,1.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1113                          ,10552,COMUNIDAD EDIFICIO ORIGEN,Región Metropolitana,Ñuñoa,-33.451549,-70.601423,Vivienda e Inmobiliarios,Edificio Habitacional,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10552                         ,2026-09-12,179.0
1114,F-030-2014,Fiscalización,Terminado - Sanción,2014-02-27,2014-08-25,No,1.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1114                          ,10557,EDIFICIO RIO BAKER,Región Metropolitana,Vitacura,-33.399905,-70.580035,Vivienda e Inmobiliarios,Edificio Habitacional,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10557                         ,2026-09-12,179.0
1115,F-031-2014,Fiscalización,Terminado - Sanción,2014-02-27,2014-08-25,No,1.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1115                          ,10554,EDIFICIO MIRADOR EL LLANO,Región Metropolitana,San Miguel,-33.4873,-70.6534,Vivienda e Inmobiliarios,Edificio Habitacional,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10554                         ,2026-09-12,179.0
1116,F-032-2014,Fiscalización,Terminado - Sanción,2014-02-27,2014-08-25,No,1.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1116                          ,10558,EDIFICIO VITACURA PLAZA,Región Metropolitana,Vitacura,-33.383513,-70.553136,Vivienda e Inmobiliarios,Edificio Habitacional,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10558                         ,2026-09-12,179.0
1138,D-007-2014,Denuncia,Terminado - Sanción,2014-06-03,2015-03-12,No,106.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1138                          ,10002,VALBI LTDA. (PLANTA PROCESADORA DE NUECES) - BUIN,Región Metropolitana,Buin,-33.7289,-70.764,Agroindustrias,Planta procesadora de productos agrícolas,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10002                         ,2026-09-12,282.0
